""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
"subject"	""	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"
"role"	"observed"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"background"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"pathogen"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"descriptive text on Dashboard"	"response component name"	"curation date YYYY-MM-DD"	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested"	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"method - primary experimental method used to measure the response"	"response component (original curated cell type)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (NCBI taxid)"	"exposure process - method by which immune exposure  occurred"	"disease name"	"disease stage - reported disease stage(s) of affected subjects"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD)"	"publication URL"	"signature source - figure, table or text section"	"comments and additional details"	"response component"	"response component protein ontology and extra terms"	"response component marker protein ontology ID"	"response component (fully qualified)"	"response component (original) count"	"response component count"	"row key"
""	"plasmablast (CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123-, CD19-lo, CD27-hi, CD38-hi, HLA-DR+); effector CD8-positive, alpha-beta T cell (CD3+, CD38-hi, HLA-DR++)"	"2021-03-31"	"Atlanta"	"23"	"94"	"years"	"36"	"peripheral blood mononuclear cell"	"CL:2000001"	"phospho-CyTOF"	"plasmablasts (CD3-, CD20-, CD56-, HLA-DR+, CD14-, CD16-, CD11c-, CD123-, CD19lo, CD27hi, and CD38hi); effector cd8 T cells(CD3+, CD8+, CD38hi, and HLA-DRhi)"	"N"	"cell-type frequency"	"up"	"pooled moderate, severe, ICU, and convalescent COVID-19 vs healthy"	"onset of symptoms"	"various"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"moderate, severe, ICU, convalescent (pooled)"	"32788292"	"2020-09-04"	"https://pubmed.ncbi.nlm.nih.gov/32788292/"	"Fig 1B"	"HLA-DR+/++ is noted specifically for these two cell types"	"CL:0000980; CL:0001050"	"(CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123-, CD19-lo, CD27-hi, CD38-hi, HLA-DR+); (CD3+, CD38-hi, HLA-DR++)"	"PR:000001020, PR:P11836, PR:000001024, PR:000001889, PR:000001483, PR:000001013, PR:000001865, PR:000001002, PR:000001963, PR:000001408, PR:000002015; PR:000001020, PR:000001408, PR:000002015"	"plasmablast (CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123-, CD19-lo, CD27-hi, CD38-hi, HLA-DR+); effector CD8-positive, alpha-beta T cell (CD3+, CD38-hi, HLA-DR++)"	"2"	"2"	"32788292_1_10"
""	"plasmablast (CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123-, CD19-lo, CD27-hi, CD38-hi, HLA-DR+); effector CD8-positive, alpha-beta T cell (CD3+, CD38-hi, HLA-DR++)"	"2021-03-31"	"Hong Kong"	"18"	"80"	"years"	"99"	"peripheral blood mononuclear cell"	"CL:2000001"	"phospho-CyTOF"	"plasmablasts (CD3-, CD20-, CD56-, HLA-DR+, CD14-, CD16-, CD11c-, CD123-, CD19lo, CD27hi, and CD38hi); effector cd8 T cells(CD3+, CD8+, CD38hi, and HLA-DRhi)"	"N"	"cell-type frequency"	"up"	"pooled moderate, severe, ICU, and convalescent COVID-19 vs healthy"	"onset of symptoms"	"various"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"moderate, severe, ICU, convalescent (pooled)"	"32788292"	"2020-09-04"	"https://pubmed.ncbi.nlm.nih.gov/32788292/"	"Fig 1B"	"HLA-DR+/++ is noted specifically for these two cell types"	"CL:0000980; CL:0001050"	"(CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123-, CD19-lo, CD27-hi, CD38-hi, HLA-DR+); (CD3+, CD38-hi, HLA-DR++)"	"PR:000001020, PR:P11836, PR:000001024, PR:000001889, PR:000001483, PR:000001013, PR:000001865, PR:000001002, PR:000001963, PR:000001408, PR:000002015; PR:000001020, PR:000001408, PR:000002015"	"plasmablast (CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123-, CD19-lo, CD27-hi, CD38-hi, HLA-DR+); effector CD8-positive, alpha-beta T cell (CD3+, CD38-hi, HLA-DR++)"	"2"	"2"	"32788292_2_11"
""	"plasmacytoid dendritic cell (CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123+, HLA-DR+)"	"2021-03-31"	"Atlanta"	"23"	"94"	"years"	"36"	"peripheral blood mononuclear cell"	"CL:2000001"	"phospho-CyTOF"	"plasmacytoid dendric cell  (CD3-, CD20-, CD56-, HLA-DR+, CD14-, CD16-, CD11c- and CD123+)"	"N"	"cell-type frequency"	"down"	"pooled moderate, severe, ICU, and convalescent COVID-19 vs healthy"	"onset of symptoms"	"various"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"moderate, severe, ICU, convalescent (pooled)"	"32788292"	"2020-09-04"	"https://pubmed.ncbi.nlm.nih.gov/32788292/"	"Fig 1C"	""	"CL:0000784"	"(CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123+, HLA-DR+)"	"PR:000001020, PR:P11836, PR:000001024, PR:000001889, PR:000001483, PR:000001013, PR:000001865, PR:000002015"	"plasmacytoid dendritic cell (CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123+, HLA-DR+)"	"1"	"1"	"32788292_3_12"
""	"plasmacytoid dendritic cell (CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123+, HLA-DR+)"	"2021-03-31"	"Hong Kong"	"18"	"80"	"years"	"99"	"peripheral blood mononuclear cell"	"CL:2000001"	"phospho-CyTOF"	"plasmacytoid dendric cell  (CD3-, CD20-, CD56-, HLA-DR+, CD14-, CD16-, CD11c- and CD123+)"	"N"	"cell-type frequency"	"down"	"pooled moderate, severe, ICU, and convalescent COVID-19 vs healthy"	"onset of symptoms"	"various"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"moderate, severe, ICU, convalescent (pooled)"	"32788292"	"2020-09-04"	"https://pubmed.ncbi.nlm.nih.gov/32788292/"	"Fig 1C"	""	"CL:0000784"	"(CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123+, HLA-DR+)"	"PR:000001020, PR:P11836, PR:000001024, PR:000001889, PR:000001483, PR:000001013, PR:000001865, PR:000002015"	"plasmacytoid dendritic cell (CD3-, CD20-, CD56-, CD14-, CD16-, CD11c-, CD123+, HLA-DR+)"	"1"	"1"	"32788292_4_13"
