""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
"subject"	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"
"role"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"background"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"background"	"pathogen"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"observed"	"observed"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"descriptive text on Dashboard"	"response component"	"curation date YYYY-MM-DD"	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested"	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"method - primary experimental method used to measure the response"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (NCBI pathogen name)"	"exposure material (NCBI taxid)"	"exposure process - method by which immune exposure  occurred"	"disease name"	"disease stage - reported disease stage(s) of affected subjects"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD)"	"publication URL"	"signature source - figure, table or text section"	"comments and additional details"	"response component (original) count"	"response component count"	"row key"
""	"TAP1; IFITM1; IFIT2; STAT1; IFIT1; IFIT3; DDX60; IFIH1; DDX58; OASL; PML; RSAD2; SP100; HESX1; HERC5; USP18; EIF2AK2; PLSCR1; OAS1; IRF7; SERPING1; PARP9; MX2; IFI27; APOBEC3A; OAS3; SIGLEC1; ATF3; C1QB; BCL2A1; IFNGR2; MGST1; HLX"	"2021-03-31"	"Atlanta"	"23"	"94"	"years"	"34"	"peripheral blood mononuclear cell"	"CL:2000001"	"RNA-seq"	"TAP1; IFITM1; IFIT2; STAT1; IFIT1; IFIT3; DDX60; IFIH1; DDX58; OASL; PML; RSAD2; SP100; HESX1; HERC5; USP18; EIF2AK2; PLSCR1; OAS1; IRF7; SERPING1; PARP9; MX2; IFI27; APOBEC3A; OAS3; SIGLEC1; ATF3; C1QB; BCL2A1; IFNGR2; MGST1; HLX"	"N"	"gene expression"	"up"	"interferon-stimulated genes in COVID-19 vs healthy"	"onset of symptoms"	"various"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"moderate and severe"	"32788292"	"2020-09-04"	"https://pubmed.ncbi.nlm.nih.gov/32788292/"	"Fig 4G"	""	"33"	"33"	"32788292_1_38"
""	"S100A12"	"2021-03-31"	"Atlanta"	"23"	"94"	"years"	"34"	"peripheral blood mononuclear cell"	"CL:2000001"	"RNA-seq"	"S100A12"	"N"	"gene expression"	"up"	"severe COVID-19 vs healthy"	"onset of symptoms"	"various"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"moderate, severe, ICU"	"32788292"	"2020-09-04"	"https://pubmed.ncbi.nlm.nih.gov/32788292/"	"Fig 5C"	""	"1"	"1"	"32788292_2_43"
""	"HLA-DRB5; MTRNR2L8; CD27; S100A4; CCDC88A; ABCA6; ND3; ACTG1; S100A6; COX1; HSPA8; HLA-DPA1; CYTB; VOPP1; TRAC; RHOC; RAB11FIP1; RGS1; RPS14; ATP6; AHNAK; RGS10; RGS2; ARL4C; SMARCB1; RNH1; GPR183; VIM; YPEL5; COX3; COTL1; EEF2; ANXA11; LGALS1; GABARAPL2; HLA-DPB1; DYNLL1; SRGN; ND4; ANXA2; ND2; RPL6; CYB561A3; EIF3L; MBD2; LITAF; RPL4; UBE2M; BRK1; CLIC1; ND1; GAPDH; RPS7; TOMM7; GNAS; TNFRSF13B; ATP8"	"2021-03-31"	"Atlanta"	"38"	"90"	"years"	"12"	"B cell"	"CL:0000236"	"CITE-seq"	"HLA-DRB5; MTRNR2L8; CD27; S100A4; CCDC88A; ABCA6; MT-ND3; ACTG1; S100A6; MT-CO1; HSPA8; HLA-DPA1; MT-CYB; VOPP1; TRAC; RHOC; RAB11FIP1; RGS1; RPS14; MT-ATP6; AHNAK; RGS10; RGS2; ARL4C; SMARCB1; RNH1; GPR183; VIM; YPEL5; MT-CO3; COTL1; EEF2; ANXA11; LGALS1; GABARAPL2; HLA-DPB1; DYNLL1; SRGN; MT-ND4; ANXA2; MT-ND2; RPL6; CYB561A3; EIF3L; MBD2; LITAF; RPL4; UBE2M; BRK1; CLIC1; MT-ND1; GAPDH; RPS7; TOMM7; GNAS; TNFRSF13B; MT-ATP8"	"N"	"gene expression"	"down"	"pooled moderate and severe COVID-19 vs healthy"	"onset of symptoms"	"various"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"moderate and severe"	"32788292"	"2020-09-04"	"https://pubmed.ncbi.nlm.nih.gov/32788292/"	"Suppl Table S4"	"PBMCs enriched for DCs"	"57"	"57"	"32788292_3_45"
""	"RPS10; H3-3B; ELF1; COBLL1; SF3B1; STK17A; DUSP22; SRRM2; IFI16; DDX5; SRSF10; AFF3; ADAM28; SELL; EIF5A; MACF1; LYST; RIPOR2; LTB; CD22; HLA-C; ZNF92; ILF3-DT; CNOT1; HSH2D; CCNL1; TRA2A; EIF1B; SP110; P2RX5; ATP2B1; REL; PLCG2; SNX29; DDX6; CSNK1G3; VPS13C; HNRNPH1; ATF7IP; HLA-DQB1; ITGA4; BANK1; SP140L; SNHG9; TYMP; IRF8; BST2; USP15; TMEM156; IL4R; ETS1; PPM1K; DDX21; ITPR1; JUN; HLA-A; COL19A1; MYC; MBNL1; HIF1A; TP53INP1; CXCR4; BCL7A; MEF2C; DDX24; HLA-DRB1; PIK3IP1; PRPF4B; MDM4; SMCHD1; UTRN; TCOF1; TAPT1; IFITM2; MTRNR2L12; SMAP2; FCHSD2; SAMD9; TRA2B; H2AC6; PARP14; APLP2; SP100; ADAR; STAT1; LINC00926; H1-2; H1-4; CLEC2D; ISG20; CYBB; MX2; RNF213; RHOB; S100A9; IRF7; S100A8; TMEM123; BIRC3; SAMD9L; TSC22D3; BTG1; ZFP36L2; H1-10; LY6E; TRIM22; EPSTI1; EIF2AK2; IFIT3; IFI6; JCHAIN; MX1; XAF1; ISG15; TXNIP; IFI44L"	"2021-03-31"	"Atlanta"	"38"	"90"	"years"	"12"	"B cell"	"CL:0000236"	"CITE-seq"	"RPS10; H3F3B; ELF1; COBLL1; SF3B1; STK17A; DUSP22; SRRM2; IFI16; DDX5; SRSF10; AFF3; ADAM28; SELL; EIF5A; MACF1; LYST; RIPOR2; LTB; CD22; HLA-C; ZNF92; ILF3-DT; CNOT1; HSH2D; CCNL1; TRA2A; EIF1B; SP110; P2RX5; ATP2B1; REL; PLCG2; SNX29; DDX6; CSNK1G3; VPS13C; HNRNPH1; ATF7IP; HLA-DQB1; ITGA4; BANK1; SP140L; SNHG9; TYMP; IRF8; BST2; USP15; TMEM156; IL4R; ETS1; PPM1K; DDX21; ITPR1; JUN; HLA-A; COL19A1; MYC; MBNL1; HIF1A; TP53INP1; CXCR4; BCL7A; MEF2C; DDX24; HLA-DRB1; PIK3IP1; PRPF4B; MDM4; SMCHD1; UTRN; TCOF1; TAPT1; IFITM2; MTRNR2L12; SMAP2; FCHSD2; SAMD9; TRA2B; HIST1H2AC; PARP14; APLP2; SP100; ADAR; STAT1; LINC00926; HIST1H1C; HIST1H1E; CLEC2D; ISG20; CYBB; MX2; RNF213; RHOB; S100A9; IRF7; S100A8; TMEM123; BIRC3; SAMD9L; TSC22D3; BTG1; ZFP36L2; H1FX; LY6E; TRIM22; EPSTI1; EIF2AK2; IFIT3; IFI6; JCHAIN; MX1; XAF1; ISG15; TXNIP; IFI44L"	"N"	"gene expression"	"up"	"pooled moderate and severe COVID-19 vs healthy"	"onset of symptoms"	"various"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"moderate and severe"	"32788292"	"2020-09-04"	"https://pubmed.ncbi.nlm.nih.gov/32788292/"	"Suppl Table S4"	"PBMCs enriched for DCs"	"118"	"116"	"32788292_4_46"
