original_annotation	CL_term	CL_ID	PRO_term_w_intensity	PRO_ID	extra	comments
activated CD4+ T cells	"activated CD4-positive, alpha-beta T cell"	CL:0000896				
antibody secreting cell	antibody secreting cell	CL:0000946				
CD19+ B-cells	B cell	CL:0000236	CD19+	PR:000001002		
CD19+ CD69+ B-cells	B cell	CL:0000236	"CD19+, CD69+"	"PR:000001002, PR:000001343"		
CD69+ CD19+ B-cells	B cell	CL:0000236	"CD19+, CD69+"	"PR:000001002, PR:000001343"		
CD38+ of CD20+IgD-CD27+ B cells	B cell	CL:0000236	"CD20+, CD27+, CD38+"	" PR:000001289, PR:000001963, PR:000001408"	IgD-	
CD86+ of CD20+ B cells	B cell	CL:0000236	"CD20+, CD86+"	"PR:000001289, PR:000001412 "		
B cells CD3-/CD19+CD20+	B cell	CL:0000236	"CD3-, CD19+, CD20+"	"PR:000001020, PR:000001002, PR:000001289"		CL issue: CD20 downregulated for activated B cells
B cells CD3-/CD19+CD20+/IgD-IgM-/CD27+	B cell	CL:0000236	"CD3-, CD19+, CD20+, CD27+"	"PR:000001020, PR:000001002, PR:000001289, PR:000001963"	"IgD-, IgM-"	
CD32+ CD19+ B-cells	B cell	CL:0000236	"CD32+, CD19+"	"PR:000001479, PR:000001002"		low affinity immunoglobulin gamma Fc region receptor II
B cell	B cell	CL:0000236				
CD5+ CD19+ B-cells	"B cell, CD19-positive"	CL:0001201	CD5+	PR:000001839		
"B cell (CD45+, CD19+, CD3-)"	"B cell, CD19-positive"	CL:0001201	"CD45+, CD3-"	"PR:000001006, PR:000001020"		
CD14dim CD16++ monocytes	"CD14-low, CD16-positive monocyte"	CL:0002396	"CD14-dim, CD16++"	"PR:000001889, PR:000001483"		
CCR2+ CD14+ monocytes	CD14-positive monocyte	CL:0001054	CCR2+	PR:000001199		
CCR5+ CD14+ monocytes	CD14-positive monocyte	CL:0001054	CCR5+	PR:000001201		
CD14+ of viable CD45+ cells (Total monocytes)	CD14-positive monocyte	CL:0001054	CD45+	PR:000001006	viable	
CD64+ CD14+ monocytes	CD14-positive monocyte	CL:0001054	CD64+	PR:000001465		
total CD14+ monocytes	CD14-positive monocyte	CL:0001054			(total)	
Monocytes (CD14+)	CD14-positive monocyte	CL:0001054				
CD14+ monocytes	CD14-positive monocyte	CL:0001054				
CD14+ CD16- monocytes	"CD14-positive, CD16-negative classical monocyte"	CL:0002057				
CD14+ CD16- classical monocyte	"CD14-positive, CD16-negative classical monocyte"	CL:0002057				
CD16+ HLA-DR++ CD14+ monocytes	"CD14-positive, CD16-positive monocyte"	CL:0002397			HLA-DR++	
HLA-DR++ CD16+ CD14+ monocytes	"CD14-positive, CD16-positive monocyte"	CL:0002397			HLA-DR++	
CD14+ CD16+ monocytes	"CD14-positive, CD16-positive monocyte"	CL:0002397				
CD56dim CD16++ natural killer cells	"CD16-positive, CD56-dim natural killer cell, human"	CL:0000939	CD16++	PR:000001483		
CD56dim CD16++ NK cells	"CD16-positive, CD56-dim natural killer cell, human"	CL:0000939	CD16++	PR:000001483		
CD16+ CD56-dim natural killer cell	"CD16-positive, CD56-dim natural killer cell, human"	CL:0000939				
CD16+ CD56dim natural killer cell	"CD16-positive, CD56-dim natural killer cell, human"	CL:0000939				
CD27+CCR7- of memory CD4+ T cells	"CD4-positive, alpha-beta memory T cell"	CL:0000897	"CD27+, CCR7-"	"PR:000001963, PR:000001203 "		human specific CCR7 is PR_P32248 
memory T cells VZV-specific CD4+ IL2+ BCL2+	"CD4-positive, alpha-beta memory T cell"	CL:0000897	"IL2+, BCL2+"	"PR:000001379, PR:000002307 "	VZV-specific	
memory T cells VZV-specific CD4+	"CD4-positive, alpha-beta memory T cell"	CL:0000897			VZV-specific	
CCR3+ CD4+ T-cells	"CD4-positive, alpha-beta T cell"	CL:0000624	CCR3+	PR:000001255		
CCR5+ CD4+ T-cells	"CD4-positive, alpha-beta T cell"	CL:0000624	CCR5+	PR:000001201		
CD103+ of CD4+ T cells	"CD4-positive, alpha-beta T cell"	CL:0000624	CD103+	PR:000001010		
T cells Cd14-/CD3+/CD4+/IL2+/ENV	"CD4-positive, alpha-beta T cell"	CL:0000624	"CD14-, CD3+, IL2+"	"PR:000001889, PR:000001020, PR:000001379"	ENV	
T cells CD14-/CD3+/CD4+/IL2+/NS1	"CD4-positive, alpha-beta T cell"	CL:0000624	"CD14-, CD3+, IL2+"	"PR:000001889, PR:000001020, PR:000001379"	NS1	
T cells CD3+/CD4+/CD28+	"CD4-positive, alpha-beta T cell"	CL:0000624	"CD3+, CD28+"	"PR:000001020, PR:000001841"		
T cells CD3+/CD4+/Ki67+	"CD4-positive, alpha-beta T cell"	CL:0000624	"CD3+, pKI-67+"	"PR:000001020, PR:000029630"		
CD38+HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)	"CD4-positive, alpha-beta T cell"	CL:0000624	CD38+	PR:000001408	"HLA-DR+, VZV tetramer+"	
CD38+ HLADR+ VZV tetramer+ cells (% of VZV tetramer CD4 T cells)	"CD4-positive, alpha-beta T cell"	CL:0000624	CD38+	PR:000001408	"HLA-DR+, VZV tetramer+"	
CD38+ of CD4+ T cells	"CD4-positive, alpha-beta T cell"	CL:0000624	CD38+	PR:000001408		
CD54+ CD4+ T-cells	"CD4-positive, alpha-beta T cell"	CL:0000624	CD54+	PR:000001467		
CD69+ CD4+ T-cells	"CD4-positive, alpha-beta T cell"	CL:0000624	CD69+	PR:000001343		
VZV-specific CD4+ CD69+ CD57+ PD1+ cells	"CD4-positive, alpha-beta T cell"	CL:0000624	"CD69+, PD-1+"	"PR:000001343, PR:000001919"	"CD57+, VZV-specific"	
CXCR4+ CD4+ T-cells	"CD4-positive, alpha-beta T cell"	CL:0000624	CXCR4+	PR:000001208		
T cells IFNg producing VZV-specific CD4+	"CD4-positive, alpha-beta T cell"	CL:0000624	IFNG+	PR:000000017	VZV-specific	
interferon-gamma+ CD4 T cells	"CD4-positive, alpha-beta T cell"	CL:0000624	IFNG+	PR:000000017		
"triple-positive (interferon-gamma, tumor necrosis factor-alpha, interleukin-2) CD4 T cells"	"CD4-positive, alpha-beta T cell"	CL:0000624	"IFNG+, TNF-a+, IL-2+"	"PR:000000017, PR:000000134, PR:000001379"		
IL2+ of CD4+ T cells	"CD4-positive, alpha-beta T cell"	CL:0000624	IL-2+	PR:000001379		
IL22+ of CD161- CD4+ T cells	"CD4-positive, alpha-beta T cell"	CL:0000624	"IL22+, CD161-"	"PR:000001383, PR:000025670 "		human IL22 is PR_Q9GZX6 but note synonym is hIL22
IL4+ of CD4+ T cells	"CD4-positive, alpha-beta T cell"	CL:0000624	IL-4+	PR:000001391		
TEM2+ CD4+ T Cell	"CD4-positive, alpha-beta T cell"	CL:0000624	TEM2+	PR:Q96D21 		
CXCR3+ CD4+ T-cells	"CD4-positive, alpha-beta T cell"	CL:0000624			CXCR3+	
HLA-DR+ of CD4+ T cells	"CD4-positive, alpha-beta T cell"	CL:0000624			HLA-DR+	
