""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"	"signature_file"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"
"subject"	""	""	""	""	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	""	""	""
"role"	"background"	"background"	"background"	"observed"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"cell_biomarker"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component name"	"curation date YYYY-MM-DD "	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested"	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original curated cell type)"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"vaccine year"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"Furman et al. (2013) Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. Mol Syst Biol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775' target='_blank'>23591775</a>"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component"	"response component protein ontology and extra terms"	"response component marker protein ontology ID"	"response component (fully qualified)"	"response component (original) count"	"response component count"	"ID of observation within a publication (PMID) and for its submission type "	"ID of observation within its submission type"	"row key"	"response component (cell types) file"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"hipc_vac_ctf_23591775_5"	"2013.04.18"	"hipc_vac_ctf_23591775_5"	"central memory CD4-positive, alpha-beta T cell"	""	"young (20–30 years), older (60 to >89 years)"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"central memory CD4-positive, alpha-beta T cell"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination"	"28"	"days"	"VO:0000047"	""	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Fig 7"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/' target='_blank'>figure/f7</a>"	""	"CL:0000904"	""	""	"central memory CD4-positive, alpha-beta T cell"	"4"	"4"	"5"	"17"	"23591775_5_17"	"hipc_vac_ctf_sig_23591775_5.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_ctf_23591775_5"	"2013.04.18"	"hipc_vac_ctf_23591775_5"	"effector memory CD8-positive, alpha-beta T cell"	""	"young (20–30 years), older (60 to >89 years)"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"effector memory CD8-positive, alpha-beta T cell"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination"	"28"	"days"	"VO:0000047"	""	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Fig 7"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/' target='_blank'>figure/f7</a>"	""	"CL:0000913"	""	""	"effector memory CD8-positive, alpha-beta T cell"	"4"	"4"	"5"	"17"	"23591775_5_17"	"hipc_vac_ctf_sig_23591775_5.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_ctf_23591775_5"	"2013.04.18"	"hipc_vac_ctf_23591775_5"	"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	""	"young (20–30 years), older (60 to >89 years)"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination"	"28"	"days"	"VO:0000047"	""	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Fig 7"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/' target='_blank'>figure/f7</a>"	""	"CL:0000920"	""	""	"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	"4"	"4"	"5"	"17"	"23591775_5_17"	"hipc_vac_ctf_sig_23591775_5.txt"	"504904"	"476294"	"461739"
""	"hipc_vac_ctf_23591775_5"	"2013.04.18"	"hipc_vac_ctf_23591775_5"	"natural killer cell"	""	"young (20–30 years), older (60 to >89 years)"	"20"	"89"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"natural killer cell"	"cell type frequency"	"negatively predictive"	"d28 HAI"	"time of vaccination"	"28"	"days"	"VO:0000047"	""	"2008"	""	""	""	"23591775"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775"	"Fig 7"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f7/' target='_blank'>figure/f7</a>"	""	"CL:0000623"	""	""	"natural killer cell"	"4"	"4"	"5"	"17"	"23591775_5_17"	"hipc_vac_ctf_sig_23591775_5.txt"	"504904"	"476294"	"461739"
