"observation_tier"	"template_name"	"observation_summary"	"story_title"	"submission_name"	"submission_description"	"project"	"submission_story"	"submission_story_rank"	"submission_center"	"principal_investigator"	"pmid"	"submission_type"
1	"hipc_vac_gene_21357945_1"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> for comparison <comparison> in cohort <cohort> 18-40 yo after exposure to <exposure_material_id_1> and/or <exposure_material_id_2> targeting <target_pathogen_taxonid_1>, <target_pathogen_taxonid_2> and/or <target_pathogen_taxonid_3>"	""	"hipc_vac_gene_21357945_1"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"21357945"	"gene"
1	"hipc_vac_gene_21357945_2"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> for comparison <comparison> in cohort <cohort> 18-40 yo after exposure to <exposure_material_id_1> and/or <exposure_material_id_2> targeting <target_pathogen_taxonid_1>, <target_pathogen_taxonid_2> and/or <target_pathogen_taxonid_3>"	""	"hipc_vac_gene_21357945_2"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"21357945"	"gene"
1	"hipc_vac_gene_21357945_3"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> with <comparison> in cohort <cohort> 18-40 yo after exposure to <exposure_material_id_1> and/or <exposure_material_id_2> targeting <target_pathogen_taxonid_1>, <target_pathogen_taxonid_2> and/or <target_pathogen_taxonid_3>"	""	"hipc_vac_gene_21357945_3"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"21357945"	"gene"
1	"hipc_vac_gene_21357945_4"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> with <comparison> in cohort <cohort> 18-40 yo after exposure to <exposure_material_id_1> and/or <exposure_material_id_2> targeting <target_pathogen_taxonid_1>, <target_pathogen_taxonid_2> and/or <target_pathogen_taxonid_3>"	""	"hipc_vac_gene_21357945_4"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"21357945"	"gene"
1	"hipc_vac_gene_21357945_5"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> with <comparison> in cohort <cohort> 18-40 yo after exposure to <exposure_material_id_1> and/or <exposure_material_id_2> targeting <target_pathogen_taxonid_1>, <target_pathogen_taxonid_2> and/or <target_pathogen_taxonid_3>"	""	"hipc_vac_gene_21357945_5"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"21357945"	"gene"
1	"hipc_vac_gene_21357945_6"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> with <comparison> in cohort <cohort> 18-40 yo after exposure to <exposure_material_id_1> and/or <exposure_material_id_2> targeting <target_pathogen_taxonid_1>, <target_pathogen_taxonid_2> and/or <target_pathogen_taxonid_3>"	""	"hipc_vac_gene_21357945_6"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"21357945"	"gene"
1	"hipc_vac_gene_21357945_7"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> with <comparison> in cohort <cohort> 18-40 yo after exposure to <exposure_material_id_1> and/or <exposure_material_id_2> targeting <target_pathogen_taxonid_1>, <target_pathogen_taxonid_2> and/or <target_pathogen_taxonid_3>"	""	"hipc_vac_gene_21357945_7"	"Bucasas et al. (2011) Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21357945' target='_blank'>21357945</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"21357945"	"gene"
1	"hipc_vac_gene_24336226_1"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> for comparison <comparison> in cohort <cohort> 18-45 yo after exposure to <exposure_material_id> targeting <target_pathogen_taxonid>"	""	"hipc_vac_gene_24336226_1"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"24336226"	"gene"
1	"hipc_vac_gene_24336226_2"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> for comparison <comparison> in cohort <cohort> 18-45 yo after exposure to <exposure_material_id> targeting <target_pathogen_taxonid>"	""	"hipc_vac_gene_24336226_2"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"24336226"	"gene"
1	"hipc_vac_gene_24336226_3"	"In <tissue_type_term_id>, <response_component> <response_behavior_type> was <response_behavior> at <time_point> <time_point_units> from <baseline_time_event> for comparison <comparison> in cohort <cohort> 18-45 yo after exposure to <exposure_material_id> targeting <target_pathogen_taxonid>"	""	"hipc_vac_gene_24336226_3"	"Li et al. (2014) Molecular signatures of antibody responses derived from a systems biology study of five human vaccines. Nat Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226' target='_blank'>24336226</a>"	"Gene expression response to vaccine exposure"	"false"	0	"HIPC-II Signatures Project"	"HIPC-II Sigs: Steven H. Kleinstein, Ph.D."	"24336226"	"gene"
