""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"	"signature_file"	"signature_file_complete"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	"vaccine"	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"target pathogen (NCBI TaxID)"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"Querec et al. (2009) Systems biology approach predicts immunogenicity of the yellow fever vaccine in humans. Nat Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=19029902' target='_blank'>19029902</a>"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"ID of observation within a publication (PMID) and for its submission type "	"ID of observation within its submission type"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"
""	"hipc_vac_gene_19029902_7"	"2008.11.26"	"hipc_vac_gene_19029902_7"	"BEND4"	""	""	"18"	"45"	"years"	"15"	"peripheral blood mononuclear cell"	"CL:2000001"	"BEND4"	"N"	"gene expression"	"predictive"	"neutralizing antibody response at 7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0003134"	""	"11090"	""	""	""	""	"19029902"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2009"	"Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/table/T4/' target='_blank'>table/T4</a>"	"Table 4: Genomic signatures that predict the magnitude of the neutralizing antibody responses using the DAMIP model"	"4"	"4"	"7"	"364"	"19029902_7_364"	"hipc_vac_gene_sig_19029902_7.txt"	"hipc_vac_gene_sig_complete_19029902_7.txt"
""	"hipc_vac_gene_19029902_7"	"2008.11.26"	"hipc_vac_gene_19029902_7"	"KBTBD7"	""	""	"18"	"45"	"years"	"15"	"peripheral blood mononuclear cell"	"CL:2000001"	"KBTBD7"	"N"	"gene expression"	"predictive"	"neutralizing antibody response at 7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0003134"	""	"11090"	""	""	""	""	"19029902"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2009"	"Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/table/T4/' target='_blank'>table/T4</a>"	"Table 4: Genomic signatures that predict the magnitude of the neutralizing antibody responses using the DAMIP model"	"4"	"4"	"7"	"364"	"19029902_7_364"	"hipc_vac_gene_sig_19029902_7.txt"	"hipc_vac_gene_sig_complete_19029902_7.txt"
""	"hipc_vac_gene_19029902_7"	"2008.11.26"	"hipc_vac_gene_19029902_7"	"TNFRSF17"	""	""	"18"	"45"	"years"	"15"	"peripheral blood mononuclear cell"	"CL:2000001"	"TNFRSF17"	"N"	"gene expression"	"predictive"	"neutralizing antibody response at 7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0003134"	""	"11090"	""	""	""	""	"19029902"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2009"	"Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/table/T4/' target='_blank'>table/T4</a>"	"Table 4: Genomic signatures that predict the magnitude of the neutralizing antibody responses using the DAMIP model"	"4"	"4"	"7"	"364"	"19029902_7_364"	"hipc_vac_gene_sig_19029902_7.txt"	"hipc_vac_gene_sig_complete_19029902_7.txt"
""	"hipc_vac_gene_19029902_7"	"2008.11.26"	"hipc_vac_gene_19029902_7"	"TPD52"	""	""	"18"	"45"	"years"	"15"	"peripheral blood mononuclear cell"	"CL:2000001"	"TPD52"	"N"	"gene expression"	"predictive"	"neutralizing antibody response at 7d vs 0d"	"time of vaccination"	"7"	"days"	"VO:0003134"	""	"11090"	""	""	""	""	"19029902"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/"	"2009"	"Table 4"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049462/table/T4/' target='_blank'>table/T4</a>"	"Table 4: Genomic signatures that predict the magnitude of the neutralizing antibody responses using the DAMIP model"	"4"	"4"	"7"	"364"	"19029902_7_364"	"hipc_vac_gene_sig_19029902_7.txt"	"hipc_vac_gene_sig_complete_19029902_7.txt"
