""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"exposure_material_id_1"	"exposure_material_id_2"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"	"target_pathogen_taxonid_4"	"target_pathogen_taxonid_5"	"target_pathogen_taxonid_6"	"target_pathogen_taxonid_7"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"	""	""	""	""	""	""	""	""	""
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material - additional"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"Nakaya et al. (2011) Systems biology of vaccination for seasonal influenza in humans. Nat Immunol. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478' target='_blank'>21743478</a>"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"exposure material 1"	"exposure material 2"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"target pathogen 4"	"target pathogen 5"	"target pathogen 6"	"target pathogen 7"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"P2RY10"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"P2RY10"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"SBDS"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SBDS"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"PHF20L1"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PHF20L1"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_21743478_13"	"2011.07.12"	"hipc_vac_gene_21743478_13"	"METTL8"	""	""	"18"	"50"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"METTL8"	"N"	"gene expression"	"negatively correlated"	"HAI response at 28d"	"time of vaccination"	"3"	"days"	""	"2008, 2007, 2009"	""	""	""	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"Suppl Table 5"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3140559/bin/NIHMS301940-supplement-6.xlsx' target='_blank'>supplement-6.xlsx</a>"	"Supplementary Table 5: All genes whose expression (d3/d0 or d7/d0) correlates to the fold increase in HAI titers (d28/d0)."	"429"	"364"	"13"	"242"	"21743478_13_242"	"hipc_vac_gene_sig_21743478_13.txt"	"hipc_vac_gene_sig_complete_21743478_13.txt"	"VO:0000045"	"VO:0000046"	"464623"	"393902"	"464417"	"504904"	"476294"	"461739"	"604436"
