""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"	"target_pathogen_taxonid_4"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"	""	""	""	""
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"pathogen"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"Franco et al. (2013) Integrative genomic analysis of the human immune response to influenza vaccination. Elife. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721' target='_blank'>23878721</a>"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"target pathogen 4"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"AP3D1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"AP3D1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"GNA12"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"GNA12"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"IL17REL"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"IL17REL"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
""	"hipc_vac_gene_23878721_2"	"2013.07.24"	"hipc_vac_gene_23878721_2"	"MCRS1"	""	""	"18"	"40"	"years"	""	"blood"	"UBERON:0000178"	"MCRS1"	"N"	"gene expression"	"negatively correlated"	"antibody response"	"time of vaccination"	"0"	"days"	"VO:0001176"	""	"2008, 2009"	""	""	""	"23878721"	"2013"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"Suppl File 1, Table 3"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3713456/bin/elife-00299-supp1.xlsx' target='_blank'>elife-00299-supp1.xlsx</a>"	""	"20"	"14"	"2"	"247"	"23878721_2_247"	"hipc_vac_gene_sig_23878721_2.txt"	"hipc_vac_gene_sig_complete_23878721_2.txt"	"504904"	"476294"	"461739"	"604436"
