""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_reference_url"	"publication_date"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"	"signature_file"	"signature_file_complete"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"	""	""	""
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"vaccine"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine ontology)"	"exposure material - additional"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"Panapasa et al. (2015) The expression of B &amp; T cell activation markers in children's tonsils following live attenuated influenza vaccine. Hum Vaccin Immunother. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26148331' target='_blank'>26148331</a>"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"ID of observation within a publication (PMID) and for its submission type "	"ID of observation within its submission type"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"hipc_vac_gene_26148331_1"	"2015.07.07"	"hipc_vac_gene_26148331_1"	"APC"	""	""	"3"	"17"	"years"	"23"	"whole blood"	"UBERON:0000178"	"APC"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"VO:0004893"	""	"2012-LAIV-Fluenz"	""	"intranasal"	""	"26148331"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"2015"	"Abstract"	""	""	"6"	"6"	"1"	"436"	"26148331_1_436"	"hipc_vac_gene_sig_26148331_1.txt"	"hipc_vac_gene_sig_complete_26148331_1.txt"	"1316510"	"1268360"	"1321139"
""	"hipc_vac_gene_26148331_1"	"2015.07.07"	"hipc_vac_gene_26148331_1"	"CD3G"	""	""	"3"	"17"	"years"	"23"	"whole blood"	"UBERON:0000178"	"CD3G"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"VO:0004893"	""	"2012-LAIV-Fluenz"	""	"intranasal"	""	"26148331"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"2015"	"Abstract"	""	""	"6"	"6"	"1"	"436"	"26148331_1_436"	"hipc_vac_gene_sig_26148331_1.txt"	"hipc_vac_gene_sig_complete_26148331_1.txt"	"1316510"	"1268360"	"1321139"
""	"hipc_vac_gene_26148331_1"	"2015.07.07"	"hipc_vac_gene_26148331_1"	"FASLG"	""	""	"3"	"17"	"years"	"23"	"whole blood"	"UBERON:0000178"	"FASLG"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"VO:0004893"	""	"2012-LAIV-Fluenz"	""	"intranasal"	""	"26148331"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"2015"	"Abstract"	""	""	"6"	"6"	"1"	"436"	"26148331_1_436"	"hipc_vac_gene_sig_26148331_1.txt"	"hipc_vac_gene_sig_complete_26148331_1.txt"	"1316510"	"1268360"	"1321139"
""	"hipc_vac_gene_26148331_1"	"2015.07.07"	"hipc_vac_gene_26148331_1"	"IL7"	""	""	"3"	"17"	"years"	"23"	"whole blood"	"UBERON:0000178"	"IL7"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"VO:0004893"	""	"2012-LAIV-Fluenz"	""	"intranasal"	""	"26148331"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"2015"	"Abstract"	""	""	"6"	"6"	"1"	"436"	"26148331_1_436"	"hipc_vac_gene_sig_26148331_1.txt"	"hipc_vac_gene_sig_complete_26148331_1.txt"	"1316510"	"1268360"	"1321139"
""	"hipc_vac_gene_26148331_1"	"2015.07.07"	"hipc_vac_gene_26148331_1"	"CD8A"	""	""	"3"	"17"	"years"	"23"	"whole blood"	"UBERON:0000178"	"CD8A"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"VO:0004893"	""	"2012-LAIV-Fluenz"	""	"intranasal"	""	"26148331"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"2015"	"Abstract"	""	""	"6"	"6"	"1"	"436"	"26148331_1_436"	"hipc_vac_gene_sig_26148331_1.txt"	"hipc_vac_gene_sig_complete_26148331_1.txt"	"1316510"	"1268360"	"1321139"
""	"hipc_vac_gene_26148331_1"	"2015.07.07"	"hipc_vac_gene_26148331_1"	"TLR1"	""	""	"3"	"17"	"years"	"23"	"whole blood"	"UBERON:0000178"	"TLR1"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"VO:0004893"	""	"2012-LAIV-Fluenz"	""	"intranasal"	""	"26148331"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4514187/"	"2015"	"Abstract"	""	""	"6"	"6"	"1"	"436"	"26148331_1_436"	"hipc_vac_gene_sig_26148331_1.txt"	"hipc_vac_gene_sig_complete_26148331_1.txt"	"1316510"	"1268360"	"1321139"
