""	"submission_name"	"submission_date"	"template_name"	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"additional_exposure_material"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"	"signature_file"	"signature_file_complete"	"exposure_material_id_1"	"exposure_material_id_2"	"target_pathogen_taxonid_1"	"target_pathogen_taxonid_2"	"target_pathogen_taxonid_3"
"subject"	""	""	""	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"
"evidence"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"file"	"file"	""	""	""	""	""
"role"	"background"	"background"	"background"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"observed"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"submission name"	"submission_date"	"template_name"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material - additional"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"Nakaya et al. (2016) Systems biology of immunity to MF59-adjuvanted versus nonadjuvanted trivalent seasonal influenza vaccines in early childhood. Proc Natl Acad Sci U S A. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=26755593' target='_blank'>26755593</a>"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"	"response component (genes) file"	" response components including non-HGNC genes"	"exposure material 1"	"exposure material 2"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"HERC5"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"HERC5"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"PML"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"PML"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"IFIH1"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IFIH1"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"DDX58"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"DDX58"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"DHX58"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"DHX58"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"DDX60"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"DDX60"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"OAS1"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"OAS1"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"IL1B"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IL1B"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"CARD9"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CARD9"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"RARA"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"RARA"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"BCL3"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"BCL3"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"ANXA3"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"ANXA3"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"C1QB"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"C1QB"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"SERPING1"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"SERPING1"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"CXCL10"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"CXCL10"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"IRF7"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IRF7"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
""	"hipc_vac_gene_26755593_2"	"2016.01.13"	"hipc_vac_gene_26755593_2"	"IFIT1"	""	"subgroup MF59-adjuvanted and non-adjuvanted"	"14"	"27"	"months"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"IFIT1"	"N"	"gene expression"	"positively correlated"	"HAI response"	"time of vaccination (second dose)"	"1"	"days"	""	"2012"	""	""	""	"26755593"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/26755593"	"Fig S7b"	"<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4763735/figure/sfig07/' target='_blank'>figure/sfig07</a>"	"Genes in BTM M75"	"19"	"19"	"2"	"47"	"26755593_2_47"	"hipc_vac_gene_sig_26755593_2.txt"	"hipc_vac_gene_sig_complete_26755593_2.txt"	"VO:0004281"	"VO:0003144"	"1316510"	"1268360"	"1089607"
