"response_component"	"count"
"STAT1"	39
"GBP1"	38
"IFI44L"	37
"SERPING1"	37
"OAS1"	35
"IFIT3"	34
"OAS3"	34
"IFIT1"	33
"OAS2"	33
"CXCL10"	32
"IFI44"	32
"MX1"	31
"XAF1"	31
"ISG15"	30
"PLSCR1"	30
"GBP5"	29
"OASL"	29
"TNFSF10"	29
"CXCL8"	28
"IFI6"	28
"IRF7"	28
"RSAD2"	28
"CD86"	27
"ICAM1"	27
"IL1B"	27
"IL1RN"	27
"TLR7"	27
"HERC5"	26
"IFIH1"	26
"IFIT2"	26
"IFITM1"	26
"MT2A"	26
"PARP9"	26
"WARS1"	26
"C3AR1"	25
"CD38"	25
"IFI35"	25
"TAP1"	25
"TRIM22"	25
"EPSTI1"	24
"FCGR1A"	24
"IDO1"	24
"IFI30"	24
"IFNG"	24
"SAMD9L"	24
"CCR1"	23
"DDX58"	23
"DDX60"	23
"IFITM3"	23
"LAMP3"	23
"MYOF"	23
"SERPINA1"	23
"TNFAIP6"	23
"CSF1R"	22
"GBP4"	22
"IFI27"	22
"IL6"	22
"IRF9"	22
"LAP3"	22
"LY6E"	22
"TLR8"	22
"APOL3"	21
"EIF2AK2"	21
"IRF1"	21
"KLRB1"	21
"MX2"	21
"PSMB9"	21
"RIPK2"	21
"TYMP"	21
"UBE2L6"	21
"BLVRA"	20
"CD14"	20
"ETV7"	20
"GCH1"	20
"IFIT5"	20
"TLR4"	20
"TNF"	20
"TNFSF13B"	20
"ANKRD22"	19
"CCR2"	19
"CD74"	19
"HLA-DRB1"	19
"IL15"	19
"LGALS3BP"	19
"NAMPT"	19
"SLAMF7"	19
"SOCS1"	19
"SOD2"	19
"ATF3"	18
"CCL5"	18
"CXCL9"	18
"FCER1G"	18
"GRN"	18
"IFITM2"	18
"LHFPL2"	18
"NOD2"	18
"PLAUR"	18
"RTP4"	18
"SCARB2"	18
"SCO2"	18
"SP110"	18
"STAT2"	18
"TAP2"	18
"TFEC"	18
"TLR1"	18
"ZBP1"	18
"AIM2"	17
"BATF2"	17
"BCL3"	17
"BST2"	17
"C1QB"	17
"CASP1"	17
"CD163"	17
"CD1C"	17
"CEBPB"	17
"CMPK2"	17
"FBXO6"	17
"FCN1"	17
"FPR2"	17
"GBP2"	17
"GZMA"	17
"LYZ"	17
