""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"target_pathogen_taxonid"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"response_comp_orig_cnt"	"response_comp_cnt"	"sig_subm_id"	"sig_row_id"	"row_key"
"subject"	"gene"	""	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"vaccine"	""	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"
"role"	"gene_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"background"	"tissue"	"observed"	"background"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"background"	"vaccine"	"background"	"background"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"response component"	"curation date YYYY-MM-DD "	"Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine name)"	"exposure material (vaccine ontology)"	"exposure material - additional"	"target pathogen"	"target pathogen (NCBI TaxID)"	"vaccine year (influenza only)"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"publication url"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component (original) count"	"response component count"	"sequential ID of signature within a publication (PMID) and for its response_type "	"row ID of signature within its submission data file(s)"	"row key"
""	"STAT1"	""	"Caucasian males, subgroup high responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"STAT1"	"N"	"gene expression"	"up"	"1d vs 0d"	"time of vaccination"	"1"	"day"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"Influenza A virus (A/Brisbane/59/2007(H1N1)); Influenza A virus (A/Brisbane/10/2007(H3N2)); Influenza B virus (B/Florida/4/2006)"	"504904; 476294; 461739"	"2008"	""	""	""	"21357945"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"Fig 2B, 2C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/figure/fig2/"	"STAT1-E2F2 expression differentiates individuals with respect to extremes of titer response index (TRI)"	"1"	"1"	"1"	"8"	"21357945_1_8"
""	"E2F2"	""	"Caucasian males, subgroup high responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"E2F2"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"Influenza A virus (A/Brisbane/59/2007(H1N1)); Influenza A virus (A/Brisbane/10/2007(H3N2)); Influenza B virus (B/Florida/4/2006)"	"504904; 476294; 461739"	"2008"	""	""	""	"21357945"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"Fig 2B, 2C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/figure/fig2/"	"STAT1-E2F2 expression differentiates individuals with respect to extremes of titer response index (TRI)"	"1"	"1"	"2"	"9"	"21357945_2_9"
""	"STAT1; IRF9; SPI1; CD74; HLA-E; TNFSF13B"	""	"Caucasian males, subgroup high responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"STAT1; IRF9; SPI1; CD74; HLA-E; TNFSF13B"	"N"	"gene expression"	"positively correlated"	"titer response index"	"time of vaccination"	"1"	"day"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"Influenza A virus (A/Brisbane/59/2007(H1N1)); Influenza A virus (A/Brisbane/10/2007(H3N2)); Influenza B virus (B/Florida/4/2006)"	"504904; 476294; 461739"	"2008"	""	""	""	"21357945"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"6"	"6"	"3"	"10"	"21357945_3_10"
""	"STAT1; IRF9; SPI1; CD74; HLA-E; TNFSF13B"	""	"Caucasian males, subgroup high responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"STAT1; IRF9; SPI1; CD74; HLA-E; TNFSF13B"	"N"	"gene expression"	"positively correlated"	"titer response index"	"time of vaccination"	"3"	"days"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"Influenza A virus (A/Brisbane/59/2007(H1N1)); Influenza A virus (A/Brisbane/10/2007(H3N2)); Influenza B virus (B/Florida/4/2006)"	"504904; 476294; 461739"	"2008"	""	""	""	"21357945"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"6"	"6"	"4"	"11"	"21357945_4_11"
""	"E2F2; PRDX2; PRDX3; PTEN; ITGB1"	""	"Caucasian males, subgroup low responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"E2F2; PRDX2; PRDX3; PTEN; ITGB1"	"N"	"gene expression"	"positively correlated"	"titer response index"	"time of vaccination"	"1"	"day"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"Influenza A virus (A/Brisbane/59/2007(H1N1)); Influenza A virus (A/Brisbane/10/2007(H3N2)); Influenza B virus (B/Florida/4/2006)"	"504904; 476294; 461739"	"2008"	""	""	""	"21357945"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"5"	"5"	"5"	"12"	"21357945_5_12"
""	"E2F2; PRDX2; PRDX3; PTEN; ITGB1"	""	"Caucasian males, subgroup low responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"E2F2; PRDX2; PRDX3; PTEN; ITGB1"	"N"	"gene expression"	"positively correlated"	"titer response index"	"time of vaccination"	"3"	"days"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"Influenza A virus (A/Brisbane/59/2007(H1N1)); Influenza A virus (A/Brisbane/10/2007(H3N2)); Influenza B virus (B/Florida/4/2006)"	"504904; 476294; 461739"	"2008"	""	""	""	"21357945"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"Table 1"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/table/tbl1/"	"Signature predictive of titer response index (TRI). Day 1 and day 3 values averaged."	"5"	"5"	"6"	"13"	"21357945_6_13"
""	"LILRB3; DAPP1; HLA-G; LILRB1; PIGR; TAPBP; CSF2RA; CD27; FCGR1A; ISG15; IRF9; STAT1; STAT2; TNFSF14; RBCK1; PNPT1; CORO1A; PRKD2; SNRNP70"	""	"Caucasian males, subgroup high responders"	"18"	"40"	"years"	"119"	"peripheral blood mononuclear cell"	"CL:2000001"	"LILRB3; DAPP1; HLA-G; LILRB1; PIGR; TAPBP; CSF2RA; CD27; FCGR1A; ISG15; IRF9; STAT1; STAT2; TNFSF14; RBCK1; PNPT1; CORO1A; PRKD2; SNRNP70"	"N"	"gene expression"	"positively correlated"	"a functional network"	"time of vaccination"	"1"	"day"	"Fluarix; Fluvirin"	"VO:0000045; VO:0000046"	""	"Influenza A virus (A/Brisbane/59/2007(H1N1)); Influenza A virus (A/Brisbane/10/2007(H3N2)); Influenza B virus (B/Florida/4/2006)"	"504904; 476294; 461739"	"2008"	""	""	""	"21357945"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/21357945"	"Fig 3C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068032/figure/fig3/"	"Top functional network for genes preferentially upregulated in the high responder group"	"19"	"19"	"7"	"14"	"21357945_7_14"
""	"FCRL5"	""	""	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FCRL5"	"N"	"gene expression"	"up"	"7d vs 0d"	"time of vaccination"	"7"	"days"	"Menomune A/C/Y/W-135"	"VO:0010727"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Fig 3"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F3/"	""	"1"	"1"	"1"	"15"	"24336226_1_15"
""	"FCRL5; IGH; IGHD; IGHE; IGHG1; IGHG3; JCHAIN; IGLL1; IGLV2-14; TNFRSF13B; TNFRSF17; HSP90B1; PDIA6; TXNDC5"	""	""	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"FCRL5; IGH; IGHD; IGHE; IGHG1; IGHG3; JCHAIN; IGLL1; IGLV2-14; TNFRSF13B; TNFRSF17; HSP90B1; PDIA6; TXNDC5"	"N"	"gene expression"	"up"	"3d vs 0d"	"time of vaccination"	"7"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Fig 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F4/"	""	"14"	"14"	"2"	"16"	"24336226_2_16"
""	"OAS2"	""	""	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"OAS2"	"N"	"gene expression"	"up"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"Menactra"	"VO:0000071"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Fig 5"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F5/"	""	"1"	"1"	"3"	"17"	"24336226_3_17"
""	"C3; C3AR1; C1S; CFD; A2M; CR1; TBC1D8; AIF1; TLR4; IL6; ADAMTS20; IFNA16; FGF5; TNR; ITGB4; COL8A1; IFNA5; IFNA21; PRL"	""	""	"18"	"45"	"years"	""	"peripheral blood mononuclear cell"	"CL:2000001"	"C3; C3AR1; C1S; CFD; A2M; CR1; TBC1D8; AIF1; TLR4; IL6; ADAMTS20; IFNA16; FGF5; TNR; ITGB4; COL8A1; IFNA5; IFNA21; PRL"	"N"	"gene expression"	"down"	"3d vs 0d"	"time of vaccination"	"3"	"days"	"Menomune A/C/Y/W-135"	"VO:0010727"	""	"Neisseria meningitidis"	"487"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/24336226"	"Fig 5b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F5/"	""	"19"	"19"	"4"	"18"	"24336226_4_18"
