"X."	"tissue_type"	"response_component_original"	"response_comp_orig_cnt"	"response_component"	"response_comp_cnt"	"cell_ontology_id"	"pro_ontology_id"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"adjuvant"	"route"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"short_comment"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"row_key"
"subject"	"cell_subset"	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"pathogen"	""	""	"vaccine"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"
"role"	"tissue"	"observed"	"observed"	"cell_biomarker"	"observed"	"observed"	"observed"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"pathogen"	"background"	"background"	"vaccine"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"tissue type"	"response component (original cell type)"	"response component (original) count"	"response component (cell subset)"	"response component count"	"cell ontology ID"	"protein ontology ID"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"target pathogen"	"vaccine year"	"exposure material (name)"	"exposure material (VO)"	"additional exposure material"	"comparison"	"cohort"	"adjuvant"	"route"	"publication reference (PMID)"	"publication year"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"short comment for mSigDB standard name"	"publication url"	"cohort"	"min. age"	"max. age"	"age units"	"ID of observation within its own submission"	"Uniq ID of observation within its submission type"	"row key"
""	"blood"	"antibody secreting cell"	"1"	"antibody secreting cell"	"1"	"CL_0000946"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"neisseria meningitidis"	""	"Menactra; Menomune"	"VO_0000071; VO_0000072"	""	"Menactra vs Menomune"	"adults (18-45)"	""	""	"24336226"	"2014"	"Fig 1F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"adults"	"18"	"45"	"years"	"1"	"8"	"24336226_1_8"
""	"blood"	"antibody secreting cell"	"1"	"antibody secreting cell"	"1"	"CL_0000946"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"neisseria meningitidis"	""	"Menactra"	"VO_0000071"	""	"d7 vs d0"	"adults (18-45)"	""	""	"24336226"	"2014"	"Fig 1F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"adults"	"18"	"45"	"years"	"2"	"9"	"24336226_2_9"
""	"blood"	"antibody secreting cell"	"1"	"antibody secreting cell"	"1"	"CL_0000946"	""	"cell type frequency"	"up"	"none"	"30"	"Days"	"time of vaccination (first dose)"	"neisseria meningitidis"	""	"Menactra"	"VO_0000071"	""	"d30 vs d0"	"adults (18-45)"	""	""	"24336226"	"2014"	"Fig 1F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"adults"	"18"	"45"	"years"	"3"	"10"	"24336226_3_10"
""	"blood"	"antibody secreting cell"	"1"	"antibody secreting cell"	"1"	"CL_0000946"	""	"cell type frequency"	"up"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"neisseria meningitidis"	""	"Menomune"	"VO_0000072"	""	"d7 vs d0"	"adults (18-45)"	""	""	"24336226"	"2014"	"Fig 1F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"adults"	"18"	"45"	"years"	"4"	"11"	"24336226_4_11"
""	"blood"	"antibody secreting cell"	"1"	"antibody secreting cell"	"1"	"CL_0000946"	""	"cell type frequency"	"positive"	"none"	"7"	"Days"	"time of vaccination (first dose)"	"neisseria meningitidis"	""	"Menactra"	"VO_0000071"	""	"correlated with d7 serum anti-DT IgG"	"adults (18-45)"	""	""	"24336226"	"2014"	"Fig 1G"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"adults"	"18"	"45"	"years"	"5"	"12"	"24336226_5_12"
