""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"response_component_original"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material"	"exposure_material_id"	"additional_exposure_material"	"target_pathogen"	"vaccine_year"	"adjuvant"	"route"	"scheduling"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"signature_source_url"	"comments"	"cell_ontology_id"	"pro_ontology_id"	"response_comp_orig_cnt"	"response_comp_cnt"	"subm_obs_id"	"uniq_obs_id"	"row_key"
"subject"	"cell_subset"	""	""	""	""	""	""	"cell_subset"	""	""	""	""	""	""	""	""	""	"vaccine"	""	"pathogen"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"evidence"	""	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	"label"	""	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"
"role"	"cell_biomarker"	"background"	"observed"	"observed"	"observed"	"observed"	"observed"	"tissue"	"background"	"observed"	"background"	"measured"	"background"	"background"	"observed"	"observed"	"background"	"vaccine"	"background"	"pathogen"	"background"	"background"	"background"	"background"	"background"	"background"	"reference"	"background"	"background"	"background"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	"response component"	"curation date (YYYY-MM-DD) "	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested."	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both cases and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement"	"tissue type"	"Cell Ontology ID of tissue"	"response component (original curated cell type)"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (vaccine name)"	"exposure material"	"additional exposure material"	"target pathogen"	"vaccine year"	"adjuvant"	"route"	"scheduling"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD or YYYY)"	"publication url"	"signature source figure, table or text section"	"signature source url"	"comments and additional details"	"response component cell ontology ID"	"response component marker protein ontology ID"	"response component (original) count"	"response component count"	"ID of observation within a publication (PMID) and for its submission type "	"ID of observation within its submission type"	"row key"
""	"antibody secreting cell"	""	""	"18"	"45"	"years"	""	"blood"	"UBERON:0000178"	"antibody secreting cell"	"cell type frequency"	"up"	"Menactra vs Menomune"	"time of vaccination (first dose)"	"7"	"days"	"Menactra; Menomune"	"VO:0000071; VO:0000072"	""	"neisseria meningitidis"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"Fig 1F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	"CL:0000946"	""	"1"	"1"	"1"	"8"	"24336226_1_8"
""	"antibody secreting cell"	""	""	"18"	"45"	"years"	""	"blood"	"UBERON:0000178"	"antibody secreting cell"	"cell type frequency"	"up"	"d7 vs d0"	"time of vaccination (first dose)"	"7"	"days"	"Menactra"	"VO:0000071"	""	"neisseria meningitidis"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"Fig 1F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	"CL:0000946"	""	"1"	"1"	"2"	"9"	"24336226_2_9"
""	"antibody secreting cell"	""	""	"18"	"45"	"years"	""	"blood"	"UBERON:0000178"	"antibody secreting cell"	"cell type frequency"	"up"	"d30 vs d0"	"time of vaccination (first dose)"	"30"	"days"	"Menactra"	"VO:0000071"	""	"neisseria meningitidis"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"Fig 1F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	"CL:0000946"	""	"1"	"1"	"3"	"10"	"24336226_3_10"
""	"antibody secreting cell"	""	""	"18"	"45"	"years"	""	"blood"	"UBERON:0000178"	"antibody secreting cell"	"cell type frequency"	"up"	"d7 vs d0"	"time of vaccination (first dose)"	"7"	"days"	"Menomune"	"VO:0000072"	""	"neisseria meningitidis"	""	""	""	""	"24336226"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226"	"Fig 1F"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/"	""	"CL:0000946"	""	"1"	"1"	"4"	"11"	"24336226_4_11"
