"rowname","pmid","subm_obs_id","uniq_obs_id","count"
"24336226_1_8","24336226",1,8,1
"24336226_2_9","24336226",2,9,1
"24336226_3_10","24336226",3,10,1
"24336226_4_11","24336226",4,11,1
"24336226_5_12","24336226",5,12,1
"23591775_1_13","23591775",1,13,2
"23591775_2_14","23591775",2,14,4
"23591775_3_15","23591775",3,15,1
"23591775_4_16","23591775",4,16,2
"23591775_5_17","23591775",5,17,4
"23591775_6_18","23591775",6,18,1
"23601689_1_19","23601689",1,19,1
"23601689_2_20","23601689",2,20,1
"23601689_3_21","23601689",3,21,1
"28854372_1_22","28854372",1,22,1
"28854372_2_23","28854372",2,23,1
"28854372_3_24","28854372",3,24,3
"28854372_4_25","28854372",4,25,4
"26755593_1_26","26755593",1,26,1
"26755593_2_27","26755593",2,27,1
"26755593_3_28","26755593",3,28,1
"23151505_1_29","23151505",1,29,6
"23151505_2_30","23151505",2,30,1
"23151505_3_31","23151505",3,31,2
"23151505_4_32","23151505",4,32,1
"23844129_1_33","23844129",1,33,1
"28137280_1_34","28137280",1,34,1
"27764254_1_35","27764254",1,35,1
"27764254_2_36","27764254",2,36,1
"27764254_3_37","27764254",3,37,1
"27764254_4_38","27764254",4,38,1
"27764254_5_39","27764254",5,39,1
"27764254_6_40","27764254",6,40,1
"23290835_1_41","23290835",1,41,1
"23290835_2_42","23290835",2,42,1
"27974398_1_43","27974398",1,43,1
"27974398_2_44","27974398",2,44,1
"17651872_1_45","17651872",1,45,4
"26742691_1_46","26742691",1,46,1
"26742691_2_47","26742691",2,47,2
"27317456_1_48","27317456",1,48,1
"24725414_1_49","24725414",1,49,1
"24725414_2_50","24725414",2,50,9
"24725414_3_51","24725414",3,51,2
"24725414_4_52","24725414",4,52,6
"24725414_5_53","24725414",5,53,1
"24725414_6_54","24725414",6,54,5
"24725414_7_55","24725414",7,55,1
"21743478_1_56","21743478",1,56,1
"21743478_2_57","21743478",2,57,1
"21743478_3_58","21743478",3,58,1
"21743478_4_59","21743478",4,59,1
"21743478_5_60","21743478",5,60,1
"24495909_1_61","24495909",1,61,3
"24495909_2_62","24495909",2,62,1
"24495909_3_63","24495909",3,63,2
"24495909_4_64","24495909",4,64,1
"24495909_5_65","24495909",5,65,1
"24495909_6_66","24495909",6,66,1
"26682988_1_67","26682988",1,67,1
"26682988_2_68","26682988",2,68,1
"26682988_3_69","26682988",3,69,1
"26682988_4_70","26682988",4,70,1
"26682988_5_71","26682988",5,71,1
"26682988_6_72","26682988",6,72,1
"26682988_7_73","26682988",7,73,1
"26682988_8_74","26682988",8,74,1
"26682988_9_75","26682988",9,75,1
"26682988_10_76","26682988",10,76,1
"26682988_11_77","26682988",11,77,1
"26682988_12_78","26682988",12,78,1
"26682988_13_79","26682988",13,79,2
"26682988_14_80","26682988",14,80,1
"26682988_15_81","26682988",15,81,1
"26682988_16_82","26682988",16,82,1
"26682988_17_83","26682988",17,83,1
"26682988_18_84","26682988",18,84,1
"26682988_19_85","26682988",19,85,1
"26682988_20_86","26682988",20,86,1
"26682988_21_87","26682988",21,87,1
"26682988_22_88","26682988",22,88,1
"26682988_23_89","26682988",23,89,1
"26682988_24_90","26682988",24,90,1
"26682988_25_91","26682988",25,91,1
"26682988_26_92","26682988",26,92,1
"26682988_27_93","26682988",27,93,1
"26682988_28_94","26682988",28,94,1
"26682988_29_95","26682988",29,95,1
"28502771_1_96","28502771",1,96,1
"28502771_2_97","28502771",2,97,1
"27030598_1_98","27030598",1,98,1
"27030598_2_99","27030598",2,99,1
"27030598_3_100","27030598",3,100,1
"27436422_1_101","27436422",1,101,1
"27436422_2_102","27436422",2,102,1
"28687661_1_103","28687661",1,103,2
"28687661_2_104","28687661",2,104,1
"28687661_3_105","28687661",3,105,3
"28687661_4_106","28687661",4,106,2
"28687661_5_107","28687661",5,107,2
"28687661_6_108","28687661",6,108,4
"28687661_7_109","28687661",7,109,1
"28687661_8_110","28687661",8,110,2
"28687661_9_111","28687661",9,111,1
"28687661_10_112","28687661",10,112,3
"28687661_11_113","28687661",11,113,1
"28687661_12_114","28687661",12,114,2
"28687661_13_115","28687661",13,115,2
"28687661_14_116","28687661",14,116,1
"28687661_15_117","28687661",15,117,1
"28687661_16_118","28687661",16,118,1
"28687661_17_119","28687661",17,119,1
"28687661_18_120","28687661",18,120,1
"30843873_1_121","30843873",1,121,1
"30843873_2_122","30843873",2,122,1
"19029902_1_123","19029902",1,123,1
"19029902_2_124","19029902",2,124,1
"19029902_3_125","19029902",3,125,2
"19029902_4_126","19029902",4,126,1
"19029902_5_127","19029902",5,127,2
"30873150_1_128","30873150",1,128,1
"30873150_2_129","30873150",2,129,1
"30247603_1_130","30247603",1,130,1
"30247603_2_131","30247603",2,131,2
"30247603_3_132","30247603",3,132,1
"30247603_4_133","30247603",4,133,2
"30247603_5_134","30247603",5,134,1
"30247603_6_135","30247603",6,135,1
"30247603_7_136","30247603",7,136,1
"29535712_1_137","29535712",1,137,1
"28607114_1_138","28607114",1,138,1
"28607114_2_139","28607114",2,139,1
"28607114_3_140","28607114",3,140,1
"28607114_4_141","28607114",4,141,1
"28607114_5_142","28607114",5,142,1
"28607114_6_143","28607114",6,143,1
"28607114_7_144","28607114",7,144,1
"28607114_8_145","28607114",8,145,1
"28607114_9_146","28607114",9,146,1
"28607114_10_147","28607114",10,147,1
"28607114_11_148","28607114",11,148,1
"28607114_12_149","28607114",12,149,1
"28607114_13_150","28607114",13,150,1
"28607114_14_151","28607114",14,151,1
"28607114_15_152","28607114",15,152,1
"28607114_16_153","28607114",16,153,1
"28607114_17_154","28607114",17,154,1
"28607114_18_155","28607114",18,155,1
"28099485_1_156","28099485",1,156,2
"28099485_2_157","28099485",2,157,2
"28549970_1_158","28549970",1,158,4
"28549970_2_159","28549970",2,159,3
"28549970_3_160","28549970",3,160,3
"28549970_4_161","28549970",4,161,6
"28549970_5_162","28549970",5,162,7
"28549970_6_163","28549970",6,163,3
"28549970_7_164","28549970",7,164,5
"28549970_8_165","28549970",8,165,4
"28549970_9_166","28549970",9,166,5
"28549970_10_167","28549970",10,167,1
