"rowname","pmid","subm_obs_id","uniq_obs_id","count"
"21357945_1_8","21357945",1,8,1
"21357945_2_9","21357945",2,9,1
"21357945_3_10","21357945",3,10,6
"21357945_4_11","21357945",4,11,6
"21357945_5_12","21357945",5,12,5
"21357945_6_13","21357945",6,13,5
"21357945_7_14","21357945",7,14,19
"24336226_1_15","24336226",1,15,1
"24336226_2_16","24336226",2,16,14
"24336226_3_17","24336226",3,17,1
"24336226_4_18","24336226",4,18,19
"24336226_5_19","24336226",5,19,16
"24336226_6_20","24336226",6,20,19
"24336226_7_21","24336226",7,21,29
"24336226_8_22","24336226",8,22,32
"24336226_9_23","24336226",9,23,43
"24336226_10_24","24336226",10,24,25
"24336226_11_25","24336226",11,25,60
"24336226_12_26","24336226",12,26,19
"24336226_13_27","24336226",13,27,40
"24336226_14_28","24336226",14,28,27
"24336226_15_29","24336226",15,29,27
"19047440_1_30","19047440",1,30,219
"19047440_2_31","19047440",2,31,104
"19047440_3_32","19047440",3,32,292
"19047440_4_33","19047440",4,33,191
"19047440_5_34","19047440",5,34,196
"19047440_6_35","19047440",6,35,107
"19047440_7_36","19047440",7,36,58
"19047440_8_37","19047440",8,37,12
"19047440_9_38","19047440",9,38,27
"19047440_10_39","19047440",10,39,13
"19047440_11_40","19047440",11,40,50
"19047440_12_41","19047440",12,41,34
"28854372_1_42","28854372",1,42,10
"28854372_2_43","28854372",2,43,2
"28854372_3_44","28854372",3,44,1
"28854372_4_45","28854372",4,45,1
"26755593_1_46","26755593",1,46,3
"26755593_2_47","26755593",2,47,19
"26755593_3_48","26755593",3,48,44
"26755593_4_49","26755593",4,49,40
"26755593_5_50","26755593",5,50,17
"26755593_6_51","26755593",6,51,56
"26726811_1_52","26726811",1,52,21
"26726811_2_53","26726811",2,53,33
"26726811_3_54","26726811",3,54,30
"26726811_4_55","26726811",4,55,24
"26726811_5_56","26726811",5,56,5
"26726811_6_57","26726811",6,57,21
"26726811_7_58","26726811",7,58,10
"23151505_1_59","23151505",1,59,1012
"23151505_2_60","23151505",2,60,1016
"23151505_3_61","23151505",3,61,131
"23151505_4_62","23151505",4,62,11
"23151505_5_63","23151505",5,63,94
"23151505_6_64","23151505",6,64,111
"23151505_7_65","23151505",7,65,84
"23151505_8_66","23151505",8,66,101
"28502771_1_67","28502771",1,67,7
"28502771_2_68","28502771",2,68,7
"28502771_3_69","28502771",3,69,6
"28502771_4_70","28502771",4,70,1
"28502771_5_71","28502771",5,71,1
"20078211_1_72","20078211",1,72,4
"28193898_1_73","28193898",1,73,10
"28193898_2_74","28193898",2,74,51
"28193898_3_75","28193898",3,75,6
"23844129_1_76","23844129",1,76,67
"23844129_2_77","23844129",2,77,1
"23844129_3_78","23844129",3,78,9
"28137280_1_79","28137280",1,79,146
"28137280_2_80","28137280",2,80,244
"27764254_1_81","27764254",1,81,7
"27764254_2_82","27764254",2,82,16
"27764254_3_83","27764254",3,83,13
"27764254_4_84","27764254",4,84,37
"27764254_5_85","27764254",5,85,249
"27764254_6_86","27764254",6,86,138
"27764254_7_87","27764254",7,87,294
"27764254_8_88","27764254",8,88,200
"27974398_1_89","27974398",1,89,1
"27974398_2_90","27974398",2,90,1
"27441275_1_91","27441275",1,91,32
"27441275_2_92","27441275",2,92,16
"27441275_3_93","27441275",3,93,4
"27441275_4_94","27441275",4,94,4
"27441275_5_95","27441275",5,95,9
"27441275_6_96","27441275",6,96,7
"27441275_7_97","27441275",7,97,3
"27441275_8_98","27441275",8,98,1
"27870591_1_99","27870591",1,99,121
"27870591_2_100","27870591",2,100,32
"27870591_3_101","27870591",3,101,72
"27870591_4_102","27870591",4,102,7
"27870591_5_103","27870591",5,103,690
"27870591_6_104","27870591",6,104,7
"22617845_1_105","22617845",1,105,1
"22617845_2_106","22617845",2,106,1
"22617845_3_107","22617845",3,107,1
"22617845_4_108","22617845",4,108,39
"22617845_5_109","22617845",5,109,2
