"rowname","pmid","subm_obs_id","uniq_obs_id","count"
"pmid:32788292_1_8","pmid:32788292",1,8,2
"pmid:32788292_2_9","pmid:32788292",2,9,2
"pmid:32788292_3_10","pmid:32788292",3,10,1
"pmid:32788292_4_11","pmid:32788292",4,11,1
"pmid:32650275_1_12","pmid:32650275",1,12,1
"pmid:32650275_2_13","pmid:32650275",2,13,4
"pmid:32650275_3_14","pmid:32650275",3,14,7
"pmid:32650275_4_15","pmid:32650275",4,15,2
"pmid:32650275_5_16","pmid:32650275",5,16,1
"pmid:32650275_6_17","pmid:32650275",6,17,1
"pmid:32650275_7_18","pmid:32650275",7,18,2
"pmid:32650275_8_19","pmid:32650275",8,19,2
"pmid:32650275_9_20","pmid:32650275",9,20,2
"pmid:32650275_10_21","pmid:32650275",10,21,1
"pmid:32650275_11_22","pmid:32650275",11,22,1
"pmid:32650275_12_23","pmid:32650275",12,23,1
"pmid:32650275_13_24","pmid:32650275",13,24,1
"pmid:32650275_14_25","pmid:32650275",14,25,1
"pmid:32650275_15_26","pmid:32650275",15,26,1
"pmid:32650275_16_27","pmid:32650275",16,27,1
"pmid:32650275_17_28","pmid:32650275",17,28,1
"pmid:32650275_18_29","pmid:32650275",18,29,1
"pmid:32650275_19_30","pmid:32650275",19,30,2
"pmid:32650275_20_31","pmid:32650275",20,31,1
"pmid:32650275_21_32","pmid:32650275",21,32,2
