"response_component"	"count"
"natural killer cell"	40
"CD4-positive, alpha-beta T cell"	36
"CD8-positive, alpha-beta T cell"	36
"monocyte"	17
"B cell"	15
"CD4-positive, alpha-beta memory T cell"	12
"plasmablast"	11
"central memory CD4-positive, alpha-beta T cell"	10
"CD14-positive monocyte"	9
"CD14-positive, CD16-positive monocyte"	8
"gamma-delta T cell"	7
"T cell"	7
"central memory CD8-positive, alpha-beta T cell"	6
"dendritic cell"	6
"myeloid dendritic cell"	6
"plasmacytoid dendritic cell"	6
"antibody secreting cell"	5
"CD8-positive, CD25-positive, alpha-beta regulatory T cell"	5
"plasma cell"	5
"CD14-positive, CD16-negative classical monocyte"	4
"CD16-positive, CD56-dim natural killer cell, human"	4
"effector memory CD8-positive, alpha-beta T cell"	4
"IgG plasmablast"	4
"naive B cell"	4
"CD4-positive, CD25-positive, alpha-beta regulatory T cell"	3
"IgD-negative memory B cell"	3
"lymphocyte"	3
"memory B cell"	3
"neutrophil"	3
"B cell, CD19-positive"	2
"CD8-positive, CD28-negative, alpha-beta regulatory T cell"	2
"IgG memory B cell"	2
"IgM memory B cell"	2
"leukocyte"	2
"naive thymus-derived CD8-positive, alpha-beta T cell"	2
"regulatory T cell"	2
"transitional stage B cell"	2
"activated CD4-positive, alpha-beta T cell"	1
"CD14-low, CD16-positive monocyte"	1
"CD8-positive, alpha-beta cytotoxic T cell"	1
"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell"	1
"effector memory CD4-positive, alpha-beta T cell"	1
"eosinophil"	1
"granulocyte"	1
"IgA memory B cell"	1
"IgA plasmablast"	1
"IgM plasmablast"	1
