	submission_name	submission_date	second_spot_check	spot_check	template_name	tissue_type	tissue_type_term_id	response_component	response_behavior_type	response_behavior	subgroup	time_point	time_point_units	baseline_time	target_pathogen	target_pathogen_taxonid	vaccine_year	exposure_material_text	exposure_material	additional_exposure_material	Group1	addntl_time_point_units	Group0	comparison	number_subjects	cohort	adjuvant	route	scheduling	publication_reference	publication_year	signature_source	signature_source_url	comments	short_comment	process_note	publication_reference_url	age_group	age_min	age_max	age_units	extra_comments
subject						cell_subset		cell_subset							pathogen				vaccine																							
evidence									label	label	label	label	label	label			label	label		label	label	label	label	label	label	label	label	label	label	label	label	label	label	label	label	label	url	label	label	label	label	label
role						tissue		cell_biomarker	background	measured	background	observed	observed	background	pathogen		background	background	vaccine	background	observed	observed	observed	background	observed	observed	background	background	background	background	background	background	background	background	background	background	reference	observed	observed	observed	observed	observed
mime_type																																										
numeric_units																																										
display_text						tissue type	Cell Ontology ID	response component (cell subset)	response behavior type	response behavior	subgroup	time point	time point units	baseline time	target pathogen	NCBI TaxonID (non-influenza)	vaccine year	exposure material (name)	exposure material (VO)	exposure material - additional	Group1	addntl time point units	Group0	comparison	number of subjects	cohort	adjuvant	route	scheduling	publication reference (PMID)	publication year	signature source figure, table or text section	signature source url	comments and additional details	short comment for mSigDB standard name	internal use only	publication url	cohort	age min.	age max.	age units	will not appear in Dashboard
			daniel	Daniel: added source		blood	UBERON_0000178	antibody secreting cell	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Neisseria meningitidis			Menactra; Menomune	VO_0000071; VO_0000072					Menactra vs Menomune		adults (18-45)				24336226	2014	Fig 1F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/				https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226	adults	18	45	years	
				Daniel:curated		blood	UBERON_0000178	antibody secreting cell	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Neisseria meningitidis			Menactra	VO_0000071					d7 vs d0		adults (18-45)				24336226	2014	Fig 1F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/				https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226	adults	18	45	years	
				Daniel:curated		blood	UBERON_0000178	antibody secreting cell	cell type frequency	up for	none	30	Days	time of vaccination (first dose)	Neisseria meningitidis			Menactra	VO_0000071					d30 vs d0		adults (18-45)				24336226	2014	Fig 1F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/				https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226	adults	18	45	years	
				Daniel:curated		blood	UBERON_0000178	antibody secreting cell	cell type frequency	up for	none	7	Days	time of vaccination (first dose)	Neisseria meningitidis			Menomune	VO_0000072					d7 vs d0		adults (18-45)				24336226	2014	Fig 1F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/				https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226	adults	18	45	years	
			daniel	Daniel: added source		blood	UBERON_0000178	antibody secreting cell	cell type frequency	positively correlated with 	none	7	Days	time of vaccination (first dose)	Neisseria meningitidis			Menactra	VO_0000071					d7 serum anti-DT IgG		adults (18-45)				24336226	2014	Fig 1G	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3946932/figure/F1/				https://www.ncbi.nlm.nih.gov/pubmed/?term=24336226	adults	18	45	years	
				Daniel: re-curated		peripheral blood mononuclear cell	CL:2000001	central memory CD4-positive, alpha-beta T cell; effector memory CD8-positive, alpha-beta T cell	cell type frequency	negatively predictive of		0	Days	time of vaccination (first dose)	Influenza A virus; Influenza B virus		2008	Fluzone	VO_0000047					d28 HAI		adults				23591775	2013	Fig 5	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3658270/figure/f5/				https://www.ncbi.nlm.nih.gov/pubmed/?term=23591775	adults				
