	submission_name	submission_date	time to curate	spot_check	template_name	tissue_type	tissue_type_term_id	response_component_original	response_component_standardized	response_behavior_type	response_behavior	subgroup	time_point	time_point_units	baseline_time	first_exposure_process	first_disease_name	first_disease_stage	target_pathogen	target_pathogen_taxonid	vaccine_year	exposure_material_text	exposure_material	additional_exposure_material	Group1	addntl_time_point_units	Group0	target_pathogen_taxonid	comparison	number_subjects	cohort	Geographic Location	adjuvant	route	scheduling	publication_reference	publication_year	signature_source	signature_source_url	comments	is_model	short_comment	process_note	publication_reference_url	age_group	age_min	age_max	age_units	extra_comments
subject	submission_name	submission_date	time to curate	spot_check		cell_subset	Cell Ontology ID	response_component_original	response_component_standardized	response_behavior_type	response_behavior	subgroup	time_point	time_point_units	baseline_time	first_exposure_process	first_disease_name	first_disease_stage	target_pathogen			exposure_material_text	vaccine						comparison	number_subjects	cohort					publication_reference	publication_year	signature_source	signature_source_url	comments				publication_reference_url					
evidence										label	label	label	label	label	label	label	label	label			label	label		label	label	label	label		label	label	label		label	label	label	label	label	label	label	label	label	label	label	url	label	label	label	label	label
role						tissue		gene_biomarker	gene_biomarker	background	measured	background	observed	observed	background	background	background	background	pathogen		background	background	vaccine	background	observed	observed	observed		background	observed	observed		background	background	background	background	background	background	background	background	background	background	background	reference	observed	observed	observed	observed	observed
mime_type																																																	
numeric_units																																																	
display_text	submission name	submission date	time to curate	spot check		tissue type	Cell Ontology ID	response component_original	response component_standardized	response behavior type	response behavior	subgroup	time point	time point units	baseline time	first_exposure_process	first_disease_name	first_disease_stage	target pathogen	NCBI TaxonID (non-influenza)	vaccine year (influenza only)	exposure material (name)	exposure material (VO)	exposure material - additional	Group1	addntl time point units	Group0	NCBI TaxonID	comparison	number of subjects	cohort	Geographic Location	adjuvant	route	scheduling	publication reference (PMID)	publication year	signature source figure, table or text section 	signature source URL	comments and additional details	gene signature is a model	short comment for mSigDB standard name	internal use only	publication URL	age group	age min.	age max.	age units	will not appear in Dashboard
	Amani	14/2/2021	total: 3hrs 45min			peripheral blood mononuclear cells		Natural Killer cells, CD56dim Natural Killer cells		cell type frequency	down		0 to 8	days	time of admission	Occurrence of infectious disease	COVID-19.	acute	SARS-CoV-2 (COVID-19)									2697049	moderate vs healthy patients 	27	Adults (18-78)	Stockholm, Sweden				32826343	2020	Fig 1C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion."				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/					
	Amani	14/2/2021				peripheral blood mononuclear cells		Natural Killer cells, CD56bright Natural Killer cells, CD56dim Natural Killer cells		cell type frequency	down		0 to 8	days	time of admission	Occurrence of infectious disease	COVID-19.	acute	SARS-CoV-2 (COVID-19)									2697049	severe vs healthy patients 	33	Adults (18-78)	Stockholm, Sweden				32826343	2020	Fig 1C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/					
	Amani	14/2/2021				peripheral blood mononuclear cells		Ki-67+ CD56bright Natural Killer cells; HLA-DR+ CD56bright Natural Killer cells; CD69+ CD56bright Natural Killer cells		cell activation state	up		0 to 8	days	time of admission	Occurrence of infectious disease	COVID-19.	acute	SARS-CoV-2 (COVID-19)									2697049	COVID-19 patients vs healthy	43	Adults (18-78)	Stockholm, Sweden				32826343	2020	Fig 1D	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion."				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/					
	Amani	14/2/2021				peripheral blood mononuclear cells		Ki-67+ CD56dim Natural Killer cells; CD69+ CD56dim Natural Killer cells		cell activation state	up		0 to 8	days	time of admission	Occurrence of infectious disease	COVID-19.	acute	SARS-CoV-2 (COVID-19)									2697049	moderate patients vs healthy patients	27	Adults (18-78)	Stockholm, Sweden				32826343	2020	Fig 1F	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion."				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/					
