	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
subject										cell_subset		(will be added by processing script)									pathogen										
evidence			label	label	label	label	label	label	label		label		label	label	label	label	label	label	label	label		label	label	label	label	label	url	label	label	label	label
role			background	observed	observed	observed	observed	observed	background	tissue	background	(will be added by processing script)	background	background	measured	background	background	observed	observed	observed	pathogen	background	background	observed	background	background	reference	background	background	background	observed
mime_type																															
numeric_units																															
descriptive text on Dashboard			curation date (YYYY-MM-DD)	cohort - any characteristics of the population(s) studied, besides age	age of youngest subject including both cases and controls	age of oldest subject including both case and controls	age units	number of subjects - count of case plus control subjects used in the measurement.	tissue type (as reported)	Cell Ontology ID of tissue	primary experimental method used to measure the response	response component - genes, proteins, cell types etc. are the entities whose change with infection is being measured	is model - signature is derived from a computational model	response behavior type	response behavior (direction, correlation type etc.)	comparison (affected vs control, correlated variable, time vs baseline event)	baseline time event	time relative to baseline event at which response was measured	time point units	exposure material - e.g. pathogen causing disease	exposure material id, e.g. NCBI taxonomy ID	exposure process - method by which immune exposure occurred	disease name	disease stage - reported disease stage(s) of affected subjects	publication reference (PMID, bioRxiv etc)	publication date (YYYY-MM-DD)	publication URL	signature source - figure, table or text section 	signature source URL	comments and additional details	curator comments
vocabulary, separator			YYYY-MM-DD	free text	number	number	choose from list	number	As reported. Only one entry allowed.	Choose from list or lookup Cell Ontology code	Choose from list. Only one entry expected. You can add new methods.	Gene or protein symbols can be separted with commas, spaces, or semicolons. Cell types or other names must be separated using semicolons. 		Choose from list. Only one entry allowed. 	Choose from list. Only one entry allowed. Add new behaviors if required.	Free text. Use "vs" rather than a dash to separate comparison terms (A vs B).  Separate multiple comparison entries with semicolons (A vs B; C vs D).	Free text. Use "none" if no time was reported.	Number. Use "none" if no time was reported.	Choose from list	NCBI taxonomy term name, or free text	NCBI Taxonomy ID. Choose from list.	Choose from list. Enter new process if needed.	free text	free text	type:id	YYYY-MM-DD	The URL only, not any associated display text	Free text. Up to two entries, separated by semicolons	The URL only, not any associated display text. Up to two entries, separated by semicolon	Free text, limit of 255 characters	Free text, no limit
Additional information for curators			Date this submission was prepared	Any characteristics of the population(s) studied, besides age. Example:  Hong Kong, Atlanta. Also report if the result was limited to a subgroup of the tested cohort, e.g.  - subjects suffering adverse events  - particular threshold levels of antibody titer level - based on a receiving a particular treatment	include both case/affected and control subjects	include both case/affected and control subjects	Hours, days, months, years	Often differs by signature within a publication. If number of subjects for a particular signature is not clear in text, use total for cohort.	The parent tissue of the response components. Report multiple tissues in different rows. For cell-type results, the tissue is often PBMCs. For gene expression, the tissue might be a particular cell-type.	If there is no matching cell type in the pulldown list, the curator can try to look up a matching term in the  Cell Ontology.	The primary experimental method used to measure the response, e.g.  RNA-seq, CyTOF, CITE-seq. 	Please copy symbols and names exactly as reported in the publication - except spell out greek letters. For cell types, this includes all markers.  Examples for a signature with three cell types: T cells CD3+/CD4+/Ki67+; T cells CD3+/CD8+/Ki67+ CD86+ myeloid dendritic cell (DC); CD86+ monocyte	Were the response components chosen using a classification or other model-building strategy?	The type of change being measured, e.g. gene expression, cell-type frequency.	Common values in the pulldown list: - up, down - positively correlated, negatively correlated, correlated - positively predictive, negatively predictive, predictive	Comparisons are typically between two groups, or may reflect a correlation of the response component with some other measured variable. Only report significant results. Examples: - severe COVID-19 cases vs healthy - moderate COVID-19 cases vs healthy; severe COVID-19 cases vs healthy - interferon-stimulated genes in COVID-19 vs healthy - bacterial DNA levels across COVID-19 and healthy subjects Include time comparison if relevant, e.g. 7d vs 0d, where the times are relative to the baseline reference event time (0d). Times before baseline event can be entered as negative numbers, e.g. days before vaccination (7d vs -1d). **Please be concise.**	The reference event from which the time of the experimental response is measured, e.g. hospital admission, onset of symptoms	Time point when response was measured, if available. 	Days, months etc.	Enter the pathogen or vaccine underlying the immune exposure as reported in the publication	NCBI Taxonomy ID of pathogen causing disease. Use format id_type:id, e.g. ncbi_taxid:2697049	Method by which exposure to pathogen occurred		Reported disease stage(s) of affected subjects in all comparisons entered in row (not including control subjects). We will not attempt to match these directly with the comparisons.	Enter an official identifier for the article curated, using format type:id	Use zeros for unavailable month or day	URL of the article curated. Primary source publication (e.g. Cell, Nature) preferred over PMC	Figure, table number etc. where the signature was found, usually original primary publication rather than PMC	Link to figure, table number etc. where the signature was found, usually the original primary publication rather than PMC. Please enter the URL directly, not as a hyperlinked name.	Details clarifying any aspect of the signature not captured in other fields	Questions or notes for further examination from curator. Will not appear in Dashboard
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	NK cell phenotyping	Natural Killer cells; CD56dim Natural Killer cells		cell type frequency	down	moderate COVID-19 patients vs healthy patients 	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	2020-08-21	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min of oxygen at inclusion."	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	33	Peripheral Blood Mononuclear Cells (PBMCs)	CL:2000001	NK cell phenotyping	Natural Killer cells; CD56bright Natural Killer cells; CD56dim Natural Killer cells		cell type frequency	down	severe COVID-19 patients vs healthy patients 	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	2020-08-21	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 1C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F1/	"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanical ventilation."	
