pathogen	txid	concatenated	final value
Clostridium tetani	1513	ncbi_txid:1513 (Clostridium tetani)	ncbi_txid:1513 (Clostridium tetani)
Corynebacterium diphtheriae	1717	ncbi_txid:1717 (Corynebacterium diphtheriae)	ncbi_txid:1717 (Corynebacterium diphtheriae)
Ebola virus	1570291	ncbi_txid:1570291 (Ebola virus)	ncbi_txid:1570291 (Ebola virus)
Francisella tularensis	263	ncbi_txid:263 (Francisella tularensis)	ncbi_txid:263 (Francisella tularensis)
Hepatitis B virus	10407	ncbi_txid:10407 (Hepatitis B virus)	ncbi_txid:10407 (Hepatitis B virus)
Human alphaherpesvirus 3	10335	ncbi_txid:10335 (Human alphaherpesvirus 3)	ncbi_txid:10335 (Human alphaherpesvirus 3)
Human immunodeficiency virus 1 	11676	ncbi_txid:11676 (Human immunodeficiency virus 1 )	ncbi_txid:11676 (Human immunodeficiency virus 1 )
Human Papillomavirus	10566	ncbi_txid:10566 (Human Papillomavirus)	ncbi_txid:10566 (Human Papillomavirus)
Human poliovirus 1	12080	ncbi_txid:12080 (Human poliovirus 1)	ncbi_txid:12080 (Human poliovirus 1)
Human poliovirus 2	12083	ncbi_txid:12083 (Human poliovirus 2)	ncbi_txid:12083 (Human poliovirus 2)
Human poliovirus 3	12086	ncbi_txid:12086 (Human poliovirus 3)	ncbi_txid:12086 (Human poliovirus 3)
Leishmania donovani	5661	ncbi_txid:5661 (Leishmania donovani)	ncbi_txid:5661 (Leishmania donovani)
Measles morbillivirus	11234	ncbi_txid:11234 (Measles morbillivirus)	ncbi_txid:11234 (Measles morbillivirus)
Measles virus strain Edmonston	11235	ncbi_txid:11235 (Measles virus strain Edmonston)	ncbi_txid:11235 (Measles virus strain Edmonston)
Measles virus strain Edmonston-Zagreb	70149	ncbi_txid:70149 (Measles virus strain Edmonston-Zagreb)	ncbi_txid:70149 (Measles virus strain Edmonston-Zagreb)
Mycobacterium tuberculosis	1773	ncbi_txid:1773 (Mycobacterium tuberculosis)	ncbi_txid:1773 (Mycobacterium tuberculosis)
Mycobacterium tuberculosis variant bovis BCG	33892	ncbi_txid:33892 (Mycobacterium tuberculosis variant bovis BCG)	ncbi_txid:33892 (Mycobacterium tuberculosis variant bovis BCG)
Neisseria meningitidis	487	ncbi_txid:487 (Neisseria meningitidis)	ncbi_txid:487 (Neisseria meningitidis)
Plasmodium falciparum	5833	ncbi_txid:5833 (Plasmodium falciparum)	ncbi_txid:5833 (Plasmodium falciparum)
Rubella virus vaccine strain RA27/3	11044	ncbi_txid:11044 (Rubella virus vaccine strain RA27/3)	ncbi_txid:11044 (Rubella virus vaccine strain RA27/3)
Streptococcus pneumoniae	1313	ncbi_txid:1313 (Streptococcus pneumoniae)	ncbi_txid:1313 (Streptococcus pneumoniae)
Vaccinia virus	10245	ncbi_txid:10245 (Vaccinia virus)	ncbi_txid:10245 (Vaccinia virus)
Variola virus	10255	ncbi_txid:10255 (Variola virus)	ncbi_txid:10255 (Variola virus)
Venezuelan equine encephalitis virus (strain TC-83)	11037	ncbi_txid:11037 (Venezuelan equine encephalitis virus (strain TC-83))	ncbi_txid:11037 (Venezuelan equine encephalitis virus (strain TC-83))
Yellow fever virus 17D	11090	ncbi_txid:11090 (Yellow fever virus 17D)	ncbi_txid:11090 (Yellow fever virus 17D)
Measles virus strain Edmonston-Zagreb; Corynebacterium diphtheriae; Clostridium tetani; Human poliovirus 1; Human poliovirus 2; Human poliovirus 3	70149; 1717; 1513; 12080; 12083; 12086		70149; 1717; 1513; 12080; 12083; 12086
